citymunDesc,provCode
GENERAL EMILIO AGUINALDO,421
GENERAL TRIAS,421
IMUS CITY,421
INDANG,421
KAWIT,421
MAGALLANES,421
MARAGONDON,421
MENDEZ (MENDEZ-NUÑEZ),421
NAIC,421
NOVELETA,421
ROSARIO,421
SILANG,421
TAGAYTAY CITY,421
TANZA,421
TERNATE,421
TRECE MARTIRES CITY (Capital),421
GEN. MARIANO ALVAREZ,421
ALAMINOS,434
BAY,434
CITY OF BIÑAN,434
CABUYAO CITY,434
CITY OF CALAMBA,434
CALAUAN,434
CAVINTI,434
FAMY,434
KALAYAAN,434
LILIW,434
LOS BAÑOS,434
LUISIANA,434
LUMBAN,434
MABITAC,434
MAGDALENA,434
MAJAYJAY,434
NAGCARLAN,434
PAETE,434
PAGSANJAN,434
PAKIL,434
PANGIL,434
PILA,434
RIZAL,434
SAN PABLO CITY,434
CITY OF SAN PEDRO,434
SANTA CRUZ (Capital),434
SANTA MARIA,434
CITY OF SANTA ROSA,434
SINILOAN,434
VICTORIA,434
AGDANGAN,456
ALABAT,456
ATIMONAN,456
BUENAVISTA,456
BURDEOS,456
CALAUAG,456
CANDELARIA,456
CATANAUAN,456
DOLORES,456
GENERAL LUNA,456
GENERAL NAKAR,456
GUINAYANGAN,456
GUMACA,456
INFANTA,456
JOMALIG,456
LOPEZ,456
LUCBAN,456
LUCENA CITY (Capital),456
MACALELON,456
MAUBAN,456
MULANAY,456
PADRE BURGOS,456
PAGBILAO,456
PANUKULAN,456
PATNANUNGAN,456
PEREZ,456
PITOGO,456
PLARIDEL,456
POLILLO,456
QUEZON,456
REAL,456
SAMPALOC,456
SAN ANDRES,456
SAN ANTONIO,456
SAN FRANCISCO (AURORA),456
SAN NARCISO,456
SARIAYA,456
TAGKAWAYAN,456
CITY OF TAYABAS,456
TIAONG,456
UNISAN,456
ANGONO,458
CITY OF ANTIPOLO,458
BARAS,458
BINANGONAN,458
CAINTA,458
CARDONA,458
JALA-JALA,458
RODRIGUEZ (MONTALBAN),458
MORONG,458
PILILLA,458
SAN MATEO,458
TANAY,458
TAYTAY,458
TERESA,458
BOAC (Capital),1740
BUENAVISTA,1740
GASAN,1740
MOGPOG,1740
SANTA CRUZ,1740
TORRIJOS,1740
ABRA DE ILOG,1751
CALINTAAN,1751
LOOC,1751
LUBANG,1751
MAGSAYSAY,1751
MAMBURAO (Capital),1751
PALUAN,1751
RIZAL,1751
SABLAYAN,1751
SAN JOSE,1751
SANTA CRUZ,1751
BACO,1752
BANSUD,1752
BONGABONG,1752
BULALACAO (SAN PEDRO),1752
CITY OF CALAPAN (Capital),1752
GLORIA,1752
MANSALAY,1752
NAUJAN,1752
PINAMALAYAN,1752
POLA,1752
PUERTO GALERA,1752
ROXAS,1752
SAN TEODORO,1752
SOCORRO,1752
VICTORIA,1752
ABORLAN,1753
AGUTAYA,1753
ARACELI,1753
BALABAC,1753
BATARAZA,1753
BROOKE'S POINT,1753
BUSUANGA,1753
CAGAYANCILLO,1753
CORON,1753
CUYO,1753
DUMARAN,1753
EL NIDO (BACUIT),1753
LINAPACAN,1753
MAGSAYSAY,1753
NARRA,1753
PUERTO PRINCESA CITY (Capital),1753
QUEZON,1753
ROXAS,1753
SAN VICENTE,1753
TAYTAY,1753
KALAYAAN,1753
CULION,1753
RIZAL (MARCOS),1753
SOFRONIO ESPAÑOLA,1753
ALCANTARA,1759
BANTON,1759
CAJIDIOCAN,1759
CALATRAVA,1759
CONCEPCION,1759
CORCUERA,1759
LOOC,1759
MAGDIWANG,1759
ODIONGAN,1759
ROMBLON (Capital),1759
SAN AGUSTIN,1759
SAN ANDRES,1759
SAN FERNANDO,1759
SAN JOSE,1759
SANTA FE,1759
FERROL,1759
SANTA MARIA (IMELDA),1759
BACACAY,505
CAMALIG,505
DARAGA (LOCSIN),505
GUINOBATAN,505
JOVELLAR,505
LEGAZPI CITY (Capital),505
LIBON,505
CITY OF LIGAO,505
MALILIPOT,505
MALINAO,505
MANITO,505
OAS,505
PIO DURAN,505
POLANGUI,505
RAPU-RAPU,505
SANTO DOMINGO (LIBOG),505
CITY OF TABACO,505
TIWI,505
BASUD,516
CAPALONGA,516
DAET (Capital),516
SAN LORENZO RUIZ (IMELDA),516
JOSE PANGANIBAN,516
LABO,516
MERCEDES,516
PARACALE,516
SAN VICENTE,516
SANTA ELENA,516
TALISAY,516
VINZONS,516
BAAO,517
BALATAN,517
BATO,517
BOMBON,517
BUHI,517
BULA,517
CABUSAO,517
CALABANGA,517
CAMALIGAN,517
CANAMAN,517
CARAMOAN,517
DEL GALLEGO,517
GAINZA,517
GARCHITORENA,517
GOA,517
IRIGA CITY,517
LAGONOY,517
LIBMANAN,517
LUPI,517
MAGARAO,517
MILAOR,517
MINALABAC,517
NABUA,517
NAGA CITY,517
OCAMPO,517
PAMPLONA,517
PASACAO,517
PILI (Capital),517
PRESENTACION (PARUBCAN),517
RAGAY,517
SAGÑAY,517
SAN FERNANDO,517
SAN JOSE,517
SIPOCOT,517
SIRUMA,517
TIGAON,517
TINAMBAC,517
BAGAMANOC,520
BARAS,520
BATO,520
CARAMORAN,520
GIGMOTO,520
PANDAN,520
PANGANIBAN (PAYO),520
SAN ANDRES (CALOLBON),520
SAN MIGUEL,520
VIGA,520
VIRAC (Capital),520
AROROY,541
BALENO,541
BALUD,541
BATUAN,541
CATAINGAN,541
CAWAYAN,541
CLAVERIA,541
DIMASALANG,541
ESPERANZA,541
MANDAON,541
CITY OF MASBATE (Capital),541
MILAGROS,541
MOBO,541
MONREAL,541
PALANAS,541
PIO V. CORPUZ (LIMBUHAN),541
PLACER,541
SAN FERNANDO,541
SAN JACINTO,541
SAN PASCUAL,541
USON,541
BARCELONA,562
BULAN,562
BULUSAN,562
CASIGURAN,562
CASTILLA,562
DONSOL,562
GUBAT,562
IROSIN,562
JUBAN,562
MAGALLANES,562
MATNOG,562
PILAR,562
PRIETO DIAZ,562
SANTA MAGDALENA,562
CITY OF SORSOGON (Capital),562
ALTAVAS,604
BALETE,604
BANGA,604
BATAN,604
BURUANGA,604
IBAJAY,604
KALIBO (Capital),604
LEZO,604
LIBACAO,604
MADALAG,604
MAKATO,604
MALAY,604
MALINAO,604
NABAS,604
NEW WASHINGTON,604
NUMANCIA,604
TANGALAN,604
ANINI-Y,606
BARBAZA,606
BELISON,606
BUGASONG,606
CALUYA,606
CULASI,606
TOBIAS FORNIER (DAO),606
HAMTIC,606
LAUA-AN,606
LIBERTAD,606
PANDAN,606
PATNONGON,606
SAN JOSE (Capital),606
SAN REMIGIO,606
SEBASTE,606
SIBALOM,606
TIBIAO,606
VALDERRAMA,606
CUARTERO,619
DAO,619
DUMALAG,619
DUMARAO,619
IVISAN,619
JAMINDAN,619
MA-AYON,619
MAMBUSAO,619
PANAY,619
PANITAN,619
PILAR,619
PONTEVEDRA,619
PRESIDENT ROXAS,619
ROXAS CITY (Capital),619
SAPI-AN,619
SIGMA,619
TAPAZ,619
AJUY,630
ALIMODIAN,630
ANILAO,630
BADIANGAN,630
BALASAN,630
BANATE,630
BAROTAC NUEVO,630
BAROTAC VIEJO,630
BATAD,630
BINGAWAN,630
CABATUAN,630
CALINOG,630
CARLES,630
CONCEPCION,630
DINGLE,630
DUEÑAS,630
DUMANGAS,630
ESTANCIA,630
GUIMBAL,630
IGBARAS,630
ILOILO CITY (Capital),630
JANIUAY,630
LAMBUNAO,630
LEGANES,630
LEMERY,630
LEON,630
MAASIN,630
MIAGAO,630
MINA,630
NEW LUCENA,630
OTON,630
CITY OF PASSI,630
PAVIA,630
POTOTAN,630
SAN DIONISIO,630
SAN ENRIQUE,630
SAN JOAQUIN,630
SAN MIGUEL,630
SAN RAFAEL,630
SANTA BARBARA,630
SARA,630
TIGBAUAN,630
TUBUNGAN,630
ZARRAGA,630
BACOLOD CITY (Capital),645
BAGO CITY,645
BINALBAGAN,645
CADIZ CITY,645
CALATRAVA,645
CANDONI,645
CAUAYAN,645
ENRIQUE B. MAGALONA (SARAVIA),645
CITY OF ESCALANTE,645
CITY OF HIMAMAYLAN,645
HINIGARAN,645
HINOBA-AN (ASIA),645
ILOG,645
ISABELA,645
CITY OF KABANKALAN,645
LA CARLOTA CITY,645
LA CASTELLANA,645
MANAPLA,645
MOISES PADILLA (MAGALLON),645
MURCIA,645
PONTEVEDRA,645
PULUPANDAN,645
SAGAY CITY,645
SAN CARLOS CITY,645
SAN ENRIQUE,645
SILAY CITY,645
CITY OF SIPALAY,645
CITY OF TALISAY,645
TOBOSO,645
VALLADOLID,645
CITY OF VICTORIAS,645
SALVADOR BENEDICTO,645
BUENAVISTA,679
JORDAN (Capital),679
NUEVA VALENCIA,679
SAN LORENZO,679
SIBUNAG,679
ALBURQUERQUE,712
ALICIA,712
ANDA,712
ANTEQUERA,712
BACLAYON,712
BALILIHAN,712
BATUAN,712
BILAR,712
BUENAVISTA,712
CALAPE,712
CANDIJAY,712
CARMEN,712
CATIGBIAN,712
CLARIN,712
CORELLA,712
CORTES,712
DAGOHOY,712
DANAO,712
DAUIS,712
DIMIAO,712
DUERO,712
GARCIA HERNANDEZ,712
GUINDULMAN,712
INABANGA,712
JAGNA,712
JETAFE,712
LILA,712
LOAY,712
LOBOC,712
LOON,712
MABINI,712
MARIBOJOC,712
PANGLAO,712
PILAR,712
PRES. CARLOS P. GARCIA (PITOGO),712
SAGBAYAN (BORJA),712
SAN ISIDRO,712
SAN MIGUEL,712
SEVILLA,712
SIERRA BULLONES,712
SIKATUNA,712
TAGBILARAN CITY (Capital),712
TALIBON,712
TRINIDAD,712
TUBIGON,712
UBAY,712
VALENCIA,712
BIEN UNIDO,712
ALCANTARA,722
ALCOY,722
ALEGRIA,722
ALOGUINSAN,722
ARGAO,722
ASTURIAS,722
BADIAN,722
BALAMBAN,722
BANTAYAN,722
BARILI,722
CITY OF BOGO,722
BOLJOON,722
BORBON,722
CITY OF CARCAR,722
CARMEN,722
CATMON,722
CEBU CITY (Capital),722
COMPOSTELA,722
CONSOLACION,722
CORDOVA,722
DAANBANTAYAN,722
DALAGUETE,722
DANAO CITY,722
DUMANJUG,722
GINATILAN,722
LAPU-LAPU CITY (OPON),722
LILOAN,722
MADRIDEJOS,722
MALABUYOC,722
MANDAUE CITY,722
MEDELLIN,722
MINGLANILLA,722
MOALBOAL,722
CITY OF NAGA,722
OSLOB,722
PILAR,722
PINAMUNGAHAN,722
PORO,722
RONDA,722
SAMBOAN,722
SAN FERNANDO,722
SAN FRANCISCO,722
SAN REMIGIO,722
SANTA FE,722
SANTANDER,722
SIBONGA,722
SOGOD,722
TABOGON,722
TABUELAN,722
CITY OF TALISAY,722
TOLEDO CITY,722
TUBURAN,722
TUDELA,722
AMLAN (AYUQUITAN),746
AYUNGON,746
BACONG,746
BAIS CITY,746
BASAY,746
CITY OF BAYAWAN (TULONG),746
BINDOY (PAYABON),746
CANLAON CITY,746
DAUIN,746
DUMAGUETE CITY (Capital),746
CITY OF GUIHULNGAN,746
JIMALALUD,746
LA LIBERTAD,746
MABINAY,746
MANJUYOD,746
PAMPLONA,746
SAN JOSE,746
SANTA CATALINA,746
SIATON,746
SIBULAN,746
CITY OF TANJAY,746
TAYASAN,746
VALENCIA (LUZURRIAGA),746
VALLEHERMOSO,746
ZAMBOANGUITA,746
ENRIQUE VILLANUEVA,761
LARENA,761
LAZI,761
MARIA,761
SAN JUAN,761
SIQUIJOR (Capital),761
ARTECHE,826
BALANGIGA,826
BALANGKAYAN,826
CITY OF BORONGAN (Capital),826
CAN-AVID,826
DOLORES,826
GENERAL MACARTHUR,826
GIPORLOS,826
GUIUAN,826
HERNANI,826
JIPAPAD,826
LAWAAN,826
LLORENTE,826
MASLOG,826
MAYDOLONG,826
MERCEDES,826
ORAS,826
QUINAPONDAN,826
SALCEDO,826
SAN JULIAN,826
SAN POLICARPO,826
SULAT,826
TAFT,826
ABUYOG,837
ALANGALANG,837
ALBUERA,837
BABATNGON,837
BARUGO,837
BATO,837
CITY OF BAYBAY,837
BURAUEN,837
CALUBIAN,837
CAPOOCAN,837
CARIGARA,837
DAGAMI,837
DULAG,837
HILONGOS,837
HINDANG,837
INOPACAN,837
ISABEL,837
JARO,837
JAVIER (BUGHO),837
JULITA,837
KANANGA,837
LA PAZ,837
LEYTE,837
MACARTHUR,837
MAHAPLAG,837
MATAG-OB,837
MATALOM,837
MAYORGA,837
MERIDA,837
ORMOC CITY,837
PALO,837
PALOMPON,837
PASTRANA,837
SAN ISIDRO,837
SAN MIGUEL,837
SANTA FE,837
TABANGO,837
TABONTABON,837
TACLOBAN CITY (Capital),837
TANAUAN,837
TOLOSA,837
TUNGA,837
VILLABA,837
ALLEN,848
BIRI,848
BOBON,848
CAPUL,848
CATARMAN (Capital),848
CATUBIG,848
GAMAY,848
LAOANG,848
LAPINIG,848
LAS NAVAS,848
LAVEZARES,848
MAPANAS,848
MONDRAGON,848
PALAPAG,848
PAMBUJAN,848
ROSARIO,848
SAN ANTONIO,848
SAN ISIDRO,848
SAN JOSE,848
SAN ROQUE,848
SAN VICENTE,848
SILVINO LOBOS,848
VICTORIA,848
LOPE DE VEGA,848
ALMAGRO,860
BASEY,860
CALBAYOG CITY,860
CALBIGA,860
CITY OF CATBALOGAN (Capital),860
DARAM,860
GANDARA,860
HINABANGAN,860
JIABONG,860
MARABUT,860
MATUGUINAO,860
MOTIONG,860
PINABACDAO,860
SAN JOSE DE BUAN,860
SAN SEBASTIAN,860
SANTA MARGARITA,860
SANTA RITA,860
SANTO NIÑO,860
TALALORA,860
TARANGNAN,860
VILLAREAL,860
PARANAS (WRIGHT),860
ZUMARRAGA,860
TAGAPUL-AN,860
SAN JORGE,860
PAGSANGHAN,860
ANAHAWAN,864
BONTOC,864
HINUNANGAN,864
HINUNDAYAN,864
LIBAGON,864
LILOAN,864
CITY OF MAASIN (Capital),864
MACROHON,864
MALITBOG,864
PADRE BURGOS,864
PINTUYAN,864
SAINT BERNARD,864
SAN FRANCISCO,864
SAN JUAN (CABALIAN),864
SAN RICARDO,864
SILAGO,864
SOGOD,864
TOMAS OPPUS,864
LIMASAWA,864
ALMERIA,878
BILIRAN,878
CABUCGAYAN,878
CAIBIRAN,878
CULABA,878
KAWAYAN,878
MARIPIPI,878
NAVAL (Capital),878
DAPITAN CITY,972
DIPOLOG CITY (Capital),972
KATIPUNAN,972
LA LIBERTAD,972
LABASON,972
LILOY,972
MANUKAN,972
MUTIA,972
PIÑAN (NEW PIÑAN),972
POLANCO,972
PRES. MANUEL A. ROXAS,972
RIZAL,972
SALUG,972
SERGIO OSMEÑA SR.,972
SIAYAN,972
SIBUCO,972
SIBUTAD,972
SINDANGAN,972
SIOCON,972
SIRAWAI,972
TAMPILISAN,972
JOSE DALMAN (PONOT),972
GUTALAC,972
BALIGUIAN,972
GODOD,972
BACUNGAN (Leon T. Postigo),972
KALAWIT,972
AURORA,973
BAYOG,973
DIMATALING,973
DINAS,973
DUMALINAO,973
DUMINGAG,973
KUMALARANG,973
LABANGAN,973
LAPUYAN,973
MAHAYAG,973
MARGOSATUBIG,973
MIDSALIP,973
MOLAVE,973
PAGADIAN CITY (Capital),973
RAMON MAGSAYSAY (LIARGO),973
SAN MIGUEL,973
SAN PABLO,973
TABINA,973
TAMBULIG,973
TUKURAN,973
ZAMBOANGA CITY,973
LAKEWOOD,973
JOSEFINA,973
PITOGO,973
SOMINOT (DON MARIANO MARCOS),973
VINCENZO A. SAGUN,973
GUIPOS,973
TIGBAO,973
ALICIA,983
BUUG,983
DIPLAHAN,983
IMELDA,983
IPIL (Capital),983
KABASALAN,983
MABUHAY,983
MALANGAS,983
NAGA,983
OLUTANGA,983
PAYAO,983
ROSELLER LIM,983
SIAY,983
TALUSAN,983
TITAY,983
TUNGAWAN,983
CITY OF ISABELA,997
BAUNGON,1013
DAMULOG,1013
DANGCAGAN,1013
DON CARLOS,1013
IMPASUG-ONG,1013
KADINGILAN,1013
KALILANGAN,1013
KIBAWE,1013
KITAOTAO,1013
LANTAPAN,1013
LIBONA,1013
CITY OF MALAYBALAY (Capital),1013
MALITBOG,1013
MANOLO FORTICH,1013
MARAMAG,1013
PANGANTUCAN,1013
QUEZON,1013
SAN FERNANDO,1013
SUMILAO,1013
TALAKAG,1013
CITY OF VALENCIA,1013
CABANGLASAN,1013
CATARMAN,1018
GUINSILIBAN,1018
MAHINOG,1018
MAMBAJAO (Capital),1018
SAGAY,1018
BACOLOD,1035
BALOI,1035
BAROY,1035
ILIGAN CITY,1035
KAPATAGAN,1035
SULTAN NAGA DIMAPORO (KAROMATAN),1035
KAUSWAGAN,1035
KOLAMBUGAN,1035
LALA,1035
LINAMON,1035
MAGSAYSAY,1035
MAIGO,1035
MATUNGAO,1035
MUNAI,1035
NUNUNGAN,1035
PANTAO RAGAT,1035
POONA PIAGAPO,1035
SALVADOR,1035
SAPAD,1035
TAGOLOAN,1035
TANGCAL,1035
TUBOD (Capital),1035
PANTAR,1035
ALORAN,1042
BALIANGAO,1042
BONIFACIO,1042
CALAMBA,1042
CLARIN,1042
CONCEPCION,1042
JIMENEZ,1042
LOPEZ JAENA,1042
OROQUIETA CITY (Capital),1042
OZAMIS CITY,1042
PANAON,1042
PLARIDEL,1042
SAPANG DALAGA,1042
SINACABAN,1042
TANGUB CITY,1042
TUDELA,1042
DON VICTORIANO CHIONGBIAN  (DON MARIANO MARCOS),1042
ALUBIJID,1043
BALINGASAG,1043
BALINGOAN,1043
BINUANGAN,1043
CAGAYAN DE ORO CITY (Capital),1043
CLAVERIA,1043
CITY OF EL SALVADOR,1043
GINGOOG CITY,1043
GITAGUM,1043
INITAO,1043
JASAAN,1043
KINOGUITAN,1043
LAGONGLONG,1043
LAGUINDINGAN,1043
LIBERTAD,1043
LUGAIT,1043
MAGSAYSAY (LINUGOS),1043
MANTICAO,1043
MEDINA,1043
NAAWAN,1043
OPOL,1043
SALAY,1043
SUGBONGCOGON,1043
TAGOLOAN,1043
TALISAYAN,1043
VILLANUEVA,1043
ASUNCION (SAUG),1123
CARMEN,1123
KAPALONG,1123
NEW CORELLA,1123
CITY OF PANABO,1123
ISLAND GARDEN CITY OF SAMAL,1123
SANTO TOMAS,1123
CITY OF TAGUM (Capital),1123
TALAINGOD,1123
BRAULIO E. DUJALI,1123
SAN ISIDRO,1123
BANSALAN,1124
DAVAO CITY,1124
CITY OF DIGOS (Capital),1124
HAGONOY,1124
KIBLAWAN,1124
MAGSAYSAY,1124
MALALAG,1124
MATANAO,1124
PADADA,1124
SANTA CRUZ,1124
SULOP,1124
BAGANGA,1125
BANAYBANAY,1125
BOSTON,1125
CARAGA,1125
CATEEL,1125
GOVERNOR GENEROSO,1125
LUPON,1125
MANAY,1125
CITY OF MATI (Capital),1125
SAN ISIDRO,1125
TARRAGONA,1125
COMPOSTELA,1182
LAAK (SAN VICENTE),1182
MABINI (DOÑA ALICIA),1182
MACO,1182
MARAGUSAN (SAN MARIANO),1182
MAWAB,1182
MONKAYO,1182
MONTEVISTA,1182
NABUNTURAN (Capital),1182
NEW BATAAN,1182
PANTUKAN,1182
DON MARCELINO,1186
JOSE ABAD SANTOS (TRINIDAD),1186
MALITA,1186
SANTA MARIA,1186
SARANGANI,1186
ALAMADA,1247
CARMEN,1247
KABACAN,1247
CITY OF KIDAPAWAN (Capital),1247
LIBUNGAN,1247
MAGPET,1247
MAKILALA,1247
MATALAM,1247
MIDSAYAP,1247
M'LANG,1247
PIGKAWAYAN,1247
PIKIT,1247
PRESIDENT ROXAS,1247
TULUNAN,1247
ANTIPAS,1247
BANISILAN,1247
ALEOSAN,1247
ARAKAN,1247
BANGA,1263
GENERAL SANTOS CITY (DADIANGAS),1263
CITY OF KORONADAL (Capital),1263
NORALA,1263
POLOMOLOK,1263
SURALLAH,1263
TAMPAKAN,1263
TANTANGAN,1263
T'BOLI,1263
TUPI,1263
SANTO NIÑO,1263
